,amplitude_cutoff,amplitude_cv_median,amplitude_cv_range,amplitude_median,firing_range,firing_rate,isi_violations_ratio,isi_violations_count,num_spikes,presence_ratio,rp_contamination,rp_violations,sd_ratio,sliding_rp_violation,snr,sync_spike_2,sync_spike_4,sync_spike_8
107,3.75473356635099e-05,0.579046368598938,0.25927269160747524,37.44,5.4,14.973333333333333,0.0033039178915611855,8.0,53904.0,1.0,0.0037238411243660785,6.0,0.9452721177565186,0.005,1.940282207127137,0.06745325022261799,7.420599584446424e-05,0.0
108,6.949606039975693e-05,0.10055287182331085,0.04540140330791473,252.71999,3.8000000000000007,6.860833333333333,0.0,0.0,24699.0,1.0,0.0,0.0,0.9774086350473479,0.005,12.090229115327991,0.06955747196242763,8.097493825660957e-05,0.0
109,7.475200701071156e-05,0.5004444122314453,0.26357589066028597,56.159996,3.799999999999999,7.2675,0.00701239150499083,4.0,26163.0,1.0,0.007920306067213834,3.0,1.0843264357904432,0.015,2.8418502246820503,0.07197186866949509,3.8221916446890644e-05,0.0
110,0.007808405740243122,0.41164398193359375,0.1253367722034454,51.48,0.6,0.18805555555555556,2.6182065721348637,1.0,677.0,1.0,1.0,1.0,0.9693460696323954,,2.570930192173119,0.050221565731166914,0.0,0.0
111,0.0001363443783635492,0.1692800372838974,0.08402624726295471,138.06,3.0,4.241388888888889,0.010294139553643791,2.0,15269.0,1.0,0.015562301951480229,2.0,0.9735906042550346,0.025,6.554916376700706,0.0679808762852839,0.00013098434737048923,0.0
112,,,,56.159996,0.2,0.029166666666666667,108.84353741496598,1.0,105.0,0.85,1.0,1.0,0.8862047339173575,,2.6260134960427233,0.08571428571428572,0.0,0.0
113,0.00011407496984674354,0.14755591750144958,0.08835586532950397,173.15999,2.9999999999999996,4.0875,0.0,0.0,14715.0,1.0,0.0,0.0,1.0299406904224166,0.01,8.254630427122702,0.06945293917770982,0.0,0.0
114,4.695586800799918e-05,0.11324840784072876,0.05985548347234726,231.65999,2.5999999999999996,3.4244444444444446,0.0,0.0,12328.0,1.0,0.0,0.0,1.0864785968690587,0.015,11.181916045892665,0.07527579493835172,8.111615833874107e-05,0.0
115,2.8595320233916095e-05,0.1211133748292923,0.06106319688260553,203.57999,3.2099999999999995,5.3116666666666665,0.003281818949465469,1.0,19122.0,1.0,0.004934905068214368,1.0,1.0158292112552878,0.01,9.764363352284589,0.07274343687898756,5.2295784959732244e-05,0.0
116,4.54611555673271e-05,0.6468101739883423,0.33781201839447006,46.8,3.6000000000000005,5.483888888888889,0.01847354323308415,6.0,19742.0,1.0,0.018647406110407383,4.0,1.2270397304641756,0.03,2.221319603042171,0.07481511498328437,0.00010130685847431871,0.0
117,0.00019270556980701322,0.1014517992734909,0.04938509836792941,236.34,3.4,5.0280555555555555,0.0,0.0,18101.0,1.0,0.0,0.0,0.9956267786395603,0.01,11.314565731070884,0.07308988453676593,0.0001104911330865698,0.0
118,5.4980081813338824e-05,0.6783302426338196,0.30303722620010376,49.14,3.8,5.5777777777777775,0.014880716179108269,5.0,20080.0,1.0,0.01348354758898973,3.0,1.401791124062888,0.025,2.4472736950876004,0.07375498007968127,0.0,0.0
